?x	?y
233993416	64070654
234351301	92383669
234507679	133144584
234718004	7318894
235109800	235109780
235314114	12824743
235497494	235497485
235498123	235498113
235857379	54786153
235862873	133252638
235962521	235962513
235979670	5729664
235996763	235996744
236202770	236202759
236451202	169648905
236477913	236477902
236613400	96883156
236636399	236636386
236766685	56767769
237026079	169909412
237176775	237176770
240747209	240747201
241013676	241013670
242495905	242495902
242769883	242769876
243683911	243683907
247202318	247202315
253022906	171874685
258292757	15608796
262580896	262580889
262629036	262629034
262629196	262629194
262673178	262673176
262673183	262673180
262706061	262706059
264388156	435455
264469569	479904
264470026	972578
264599022	4091000
264624974	1365877
264647228	2424344
264653238	384314
264669615	479903
264674454	519029
264698374	60644313
264708066	14589325
264711400	7690432
264719668	92383671
264803986	7698705
264826804	237092377
264881685	140199753
264896795	5476181
264900925	56510342
264991027	103145485
264999250	7240074
265029188	202795181
265104387	7782298
265144329	92383668
265185075	51717528
265196400	61747050
265370670	203994553
265419197	211796361
265428662	62677141
265578699	15625001
265779611	265779590
265985521	22743165
266094977	266094967
266867851	169925119
266920890	266920882
267344674	134210444
267779647	141518447
267787761	267787753
267897637	2016247
267898018	61671078
267936468	267936455
267962374	267962357
268021102	268021088
268028403	268028391
268102656	208109269
268148476	268148460
268205505	268205496
268209174	268209166
268561754	268561750
268579908	268579896
268581237	268581227
268701310	215935242
268704218	268704205
268765767	268765755
268778396	1032156
269001143	269001139
269165287	269165275
269188945	269188936
269221161	168610711
269221730	49715494
269243358	269243346
272219447	272219435
272478679	272478676
272535525	272535501
272911613	89691655
275476853	275476850
277138088	277138082
290088997	63969115
294335835	294335833
294335959	294335957
294335986	294335983
294408171	294408169
