shape,query_file,query_id,decomposition_id,decomposition_name,relation_order,repetition,atoms,variables,wall_seconds,user_seconds,system_seconds,cardinality
j3,tmp_queries/j3_5.query,5,7,root=0|children=1;2,query_atom_order,1,3,4,1.134484745,1.123443000,0.010169000,3
j3,tmp_queries/j3_5.query,5,8,root=1|children=0;2,query_atom_order,1,3,4,1.114926550,1.114365000,0.000000000,3
j3,tmp_queries/j3_5.query,5,9,root=2|children=1;0,query_atom_order,1,3,4,1.148219965,1.142220000,0.005413000,3
j3,tmp_queries/j3_6.query,6,1,root=0|child=1+2,query_atom_order,1,3,4,0.023899759,0.023917000,0.000000000,37
j3,tmp_queries/j3_6.query,6,2,root=1|child=0+2,query_atom_order,1,3,4,0.287633785,0.287518000,0.000000000,37
j3,tmp_queries/j3_6.query,6,3,root=2|child=0+1,query_atom_order,1,3,4,0.005794078,0.005832000,0.000000000,37
j3,tmp_queries/j3_6.query,6,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.002779412,0.002646000,0.000166000,37
j3,tmp_queries/j3_6.query,6,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.016922632,0.015939000,0.001012000,37
j3,tmp_queries/j3_6.query,6,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.021491781,0.021508000,0.000000000,37
j3,tmp_queries/j3_6.query,6,7,root=0|children=1;2,query_atom_order,1,3,4,0.273318706,0.267121000,0.006061000,37
j3,tmp_queries/j3_6.query,6,8,root=1|children=0;2,query_atom_order,1,3,4,0.304858306,0.303153000,0.001553000,37
j3,tmp_queries/j3_6.query,6,9,root=2|children=1;0,query_atom_order,1,3,4,0.285315020,0.282993000,0.002126000,37
j3,tmp_queries/j3_7.query,7,1,root=0|child=1+2,query_atom_order,1,3,4,0.006688385,0.003737000,0.002989000,1
j3,tmp_queries/j3_7.query,7,2,root=1|child=0+2,query_atom_order,1,3,4,0.013354151,0.011142000,0.002229000,1
j3,tmp_queries/j3_7.query,7,3,root=2|child=0+1,query_atom_order,1,3,4,0.005118177,0.005139000,0.000000000,1
j3,tmp_queries/j3_7.query,7,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.006359185,0.002292000,0.004087000,1
j3,tmp_queries/j3_7.query,7,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.008671139,0.001073000,0.007617000,1
j3,tmp_queries/j3_7.query,7,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.009423028,0.000590000,0.008136000,1
j3,tmp_queries/j3_7.query,7,7,root=0|children=1;2,query_atom_order,1,3,4,0.035197904,0.011382000,0.017212000,1
j3,tmp_queries/j3_7.query,7,8,root=1|children=0;2,query_atom_order,1,3,4,0.022652200,0.015108000,0.007554000,1
j3,tmp_queries/j3_7.query,7,9,root=2|children=1;0,query_atom_order,1,3,4,0.027183844,0.011412000,0.010041000,1
j3,tmp_queries/j3_8.query,8,1,root=0|child=1+2,query_atom_order,1,3,4,0.069041613,0.067459000,0.000390000,7
j3,tmp_queries/j3_8.query,8,2,root=1|child=0+2,query_atom_order,1,3,4,0.036045839,0.032052000,0.003982000,7
j3,tmp_queries/j3_8.query,8,3,root=2|child=0+1,query_atom_order,1,3,4,0.037274648,0.037024000,0.000253000,7
j3,tmp_queries/j3_8.query,8,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.048397089,0.048358000,0.000036000,7
j3,tmp_queries/j3_8.query,8,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.055671368,0.051393000,0.004274000,7
j3,tmp_queries/j3_8.query,8,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.030256019,0.022322000,0.007942000,7
j3,tmp_queries/j3_8.query,8,7,root=0|children=1;2,query_atom_order,1,3,4,0.757919075,0.746090000,0.008994000,7
j3,tmp_queries/j3_8.query,8,8,root=1|children=0;2,query_atom_order,1,3,4,0.693046350,0.666939000,0.018537000,7
j3,tmp_queries/j3_8.query,8,9,root=2|children=1;0,query_atom_order,1,3,4,0.678399115,0.670372000,0.006837000,7
j3,tmp_queries/j3_9.query,9,1,root=0|child=1+2,query_atom_order,1,3,4,0.004811245,0.004180000,0.000653000,93
j3,tmp_queries/j3_9.query,9,2,root=1|child=0+2,query_atom_order,1,3,4,0.070704389,0.070693000,0.000000000,93
j3,tmp_queries/j3_9.query,9,3,root=2|child=0+1,query_atom_order,1,3,4,0.026548189,0.026479000,0.000078000,93
j3,tmp_queries/j3_9.query,9,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.023611460,0.023243000,0.000376000,93
j3,tmp_queries/j3_9.query,9,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.022292853,0.022304000,0.000000000,93
j3,tmp_queries/j3_9.query,9,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.005156677,0.005122000,0.000055000,93
j3,tmp_queries/j3_9.query,9,7,root=0|children=1;2,query_atom_order,1,3,4,0.100513759,0.089023000,0.011466000,93
j3,tmp_queries/j3_9.query,9,8,root=1|children=0;2,query_atom_order,1,3,4,0.088925278,0.087863000,0.001043000,93
j3,tmp_queries/j3_9.query,9,9,root=2|children=1;0,query_atom_order,1,3,4,0.097946601,0.097924000,0.000000000,93
j3,tmp_queries/j3_10.query,10,1,root=0|child=1+2,query_atom_order,1,3,4,0.067002050,0.058453000,0.008349000,1
j3,tmp_queries/j3_10.query,10,2,root=1|child=0+2,query_atom_order,1,3,4,0.048906824,0.048909000,0.000000000,1
j3,tmp_queries/j3_10.query,10,3,root=2|child=0+1,query_atom_order,1,3,4,0.195983032,0.189025000,0.006884000,1
j3,tmp_queries/j3_10.query,10,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.040983748,0.040988000,0.000000000,1
j3,tmp_queries/j3_10.query,10,5,root=1+0|child=1+2,query_atom_order,1,3,4,0.060893987,0.052090000,0.008778000,1
j3,tmp_queries/j3_10.query,10,6,root=2+0|child=2+1,query_atom_order,1,3,4,0.083219032,0.077364000,0.005838000,1
j3,tmp_queries/j3_10.query,10,7,root=0|children=1;2,query_atom_order,1,3,4,0.385341373,0.308138000,0.077034000,1
j3,tmp_queries/j3_10.query,10,8,root=1|children=0;2,query_atom_order,1,3,4,0.534915581,0.532721000,0.000000000,1
j3,tmp_queries/j3_10.query,10,9,root=2|children=1;0,query_atom_order,1,3,4,0.494981159,0.491491000,0.003266000,1
j3,tmp_queries/j3_11.query,11,1,root=0|child=1+2,query_atom_order,1,3,4,1.618228396,1.590443000,0.024644000,1
j3,tmp_queries/j3_11.query,11,2,root=1|child=0+2,query_atom_order,1,3,4,0.287106962,0.286652000,0.000000000,1
j3,tmp_queries/j3_11.query,11,3,root=2|child=0+1,query_atom_order,1,3,4,0.260227156,0.255821000,0.004274000,1
j3,tmp_queries/j3_11.query,11,4,root=0+1|child=0+2,query_atom_order,1,3,4,0.412725386,0.408325000,0.004125000,1
j3,tmp_queries/j3_11.query,11,5,root=1+0|child=1+2,query_atom_order,1,3,4,1.420517310,0.859948000,0.259498000,1
j3,tmp_queries/j3_11.query,11,6,root=2+0|child=2+1,query_atom_order,1,3,4,1.148146574,1.139090000,0.008603000,1
j3,tmp_queries/j3_11.query,11,7,root=0|children=1;2,query_atom_order,1,3,4,13.606421250,13.577127000,0.007671000,1
j3,tmp_queries/j3_11.query,11,8,root=1|children=0;2,query_atom_order,1,3,4,14.026640474,13.910728000,0.052161000,1
